问题,类别
请问近日公司的生产和销售是否受到郑州市疫情的影响？,生产经营情况
为什么公司的估值和安井差异如此大呢？看公司的半年报，收入增长几乎停滞了，而安井三季报预告收入增长33.78%，利润增长39.62%。公司是否有必要研究和借鉴一下安井的产品和经营扩张模式？比如说速冻火锅料制品和预制菜，特别是速冻火锅料制品（云吞、牛肉丸、墨鱼丸之类的），在快节奏的都市是一个非常大的市场,公司基本状况
据传：江西地方政府正在帮扶加快推进合力泰子公司江西兴泰科技有限公司股改工作，力争在2022年12月完成股改，是否属实？,公司基本状况
您好，请问，贵公司截止10月20日股东人数是多少？谢谢！,股东与股权变动
董秘你好，请问贵公司有没有医疗领域的业务，公司控股子公司湖南健康大数据发展有限公司主营业务是什么？,公司基本状况
你好董秘，请问贵公司有没有医疗行业的业务往来？公司控股子公司湖南健康大数据发展有限公司的主营业务是什么？,公司基本状况
请问到10.20股东人数是多少？,股东与股权变动
您好！请问贵公司截止10月20日股东户数多少？,股东与股权变动
请问截止到2022年10月20日股东人数是多少，谢谢！,股东与股权变动
截至到2022年10月20日贵公司的股东人数是多少？.,股东与股权变动
贵公司旗下的浙江能安智慧科技有限公司是环保方面的公司吗？现在主营业务有哪些？,公司基本状况
请问贵司在此次国家支持的职业学校和高等学校的教育信息化建设方面有什么推进？是否已有具体业务受益？,公司基本状况
请问：讯飞甄选.com 是战略布局对标东方甄选直 播带货吗？讯飞甄选.com直播是依托抖音平台引流 还是自建独立站？是只带咱们讯飞自家的产品呢？ 还是广泛选品或聚焦三农选品？谢谢.,公司基本状况
董秘你好，请问截止10月20日，最新一期的股东人数。,股东与股权变动
公司7万吨锂盐产能截目前为止开工率是多少？自给矿原料占比多少？事关我是否还愿意继续持有公司股份的问题，希望公司能开诚布公直截了当地问答以上问题，不要答非所问，顾左右而言它好吗？,生产经营情况
所有锂盐产业上市公司都公布了三季报业绩予报，唯独公司至今未公布，距正式公布三季报只剩下二个交易日了，距高管可以减持股份只剩下一个交易日了，好好地向投资者解释一下到底是什么原因吧。,股东与股权变动
请问公司的自有矿产量到现在满产吗?,生产经营情况
新冠疫情的常态化使得我国在适当的时候放开“动态清零”成为可能。如果放开“动态清零”，公司的自消杀产品能否为降低或减缓病毒传播提供可行方案？能否为老人等重点人群提供更好的防护方案？公司在这些方面有没有提前进行研究？,公司基本状况
公司是否规划生产磷酸铁锂电池请问？,生产经营情况
董秘，你好！截止10月20号，股东人数多少？,股东与股权变动
董秘您好，请问贵公司截止10月20日股东人数，谢谢。,股东与股权变动
请问公司有为电磁撬设施提供产品服务吗？,公司基本状况
董秘你好！请问贵公司有没有房地产业务？,公司基本状况
请问公司海外市场占总销售额多少？,生产经营情况
您好截止到现在股东人数，和机构人数谢谢,股东与股权变动
请问截止 2022年10月20日 股东人数及机构数是多少 谢谢,股东与股权变动
请问贵司目前在手订单充足吗 ？,生产经营情况
请问截至10月21日公司股东人数分别是多少？谢谢！,股东与股权变动
请问截至10月20日公司股东人数分别是多少？谢谢！,股东与股权变动
金丰公社什么时候直播农产品?金丰公社直接农园直播卖农产品还有新东方什么事。,公司基本状况
公司旗下上海奥威科技是专精特新高新技术企业，研发或者生产了钠离子电容器或者超级电容等黑科技产业。也是国家鼓励的新能源行业。因为研发投入大，很适合在科创板上市。希望公司引导创始人团队进行股份制改革，为早日上市铺平道路。,生产经营情况
董秘您好，请问截止10月20日公司的股东人数是多少？谢谢！,股东与股权变动
请问贵公司有web3技术吗,生产经营情况
您好，请问贵公司是否有中欧班列相关的贸易业务？,公司基本状况
国家发改委：中国经济明显回升，这些领域订单大幅增长。  我国的能源装备、石化装备、矿山机械、工程机械、数控机床、工业机器人等重点项目订单都在大幅增长。  请问公司近况是否吻合发改委口径？希望公司抓住难得的历史机遇，做大做强，更好的回报二级市场投资者。,生产经营情况
首先感谢你们不辞辛劳的回复我们提出的问题。請問把带有时间和姓名的股票交易软件持仓截图和身份证一并扫描发送至公司邮箱，可以获知 非定期报告相关时点的股东人数吗？盼你们具体，明确答复。顺祝你们，身体健康，万事如意， 【比如截至到2022年10月10日贵公司的股东人数是多少？】,股东与股权变动
请问海基一期和二期产线的电芯规格都有哪些？另外公司现在股价处于低位且公司管理层表示对公司未来的股价有信心，建议公司推出员工持股计划或者增持股票。,股东与股权变动
您好，请问贵公司截止2022年10月不20日的股东人数是多少？,股东与股权变动
请问董秘截止10月20日的股东人数是多少户？,股东与股权变动
请问10月20日股东人数,股东与股权变动
您好，对于贵公司提出的锂电上下游的错配问题，贵公司都有哪些扩产项目，何时可以释放产能，计划释放多少产能。,生产经营情况
董秘，你好，2021年兴华锂盐采用多组分协同溶剂萃取—水反萃清洁提锂技术，3条生产线年产量达到8000吨。请问公司是否也有使用水反萃清洁提锂技术，以及对此技术的看法。,生产经营情况
董秘您好，请问公司目前产能多少？未来规划产能有多少？谢谢！,生产经营情况
请问公司截止10月20日的股东人数。谢谢！,股东与股权变动
尊敬的董秘您好！请问10月20日公司股东人数多少？谢谢！,股东与股权变动
请问公司目前用于生产碳酸锂的原料锂精矿自给率情况大概是多少？未来自给情况大概是多少产能？,生产经营情况
尊敬的老总，您好！请问公司业务涉及光热发电吗？,公司基本状况
尊敬的董秘您好，贵公司有产品出口到俄罗斯吗？,公司基本状况
请问贵公司目前股东人数是多少？,股东与股权变动
董秘你好，请问南京新联智慧能源服务有限公司是贵公司子公司吗？是否从事与智慧能源以及能源互联网相关的业务？,公司基本状况
请问贵公司有产品涉及机器人概念吗？,公司基本状况
贵司及控股、参股的子公司就“机器人”的相关研究、开发和应用情况，请董秘具体和投资者介绍下，谢谢！,公司基本状况
您好董秘，我观察到最近众多上市公司都在回购自己公司股票，请问贵公司是否考虑在合理价值范围内回购公司股票，如果不打算回购能否说明具体原因？,股东与股权变动
您好董秘，公司是否进行最新通信前沿的军品研发生产及销售。,生产经营情况
请问截至目前股东数为多少,股东与股权变动
请问董秘:截止今日公司股东总人数是多少？谢谢！,股东与股权变动
请问董秘:公司截止今日的股东人数是多少？谢谢！,股东与股权变动
请问，10月10日股东人数是多少？谢谢,股东与股权变动
尊敬的董秘，您好！有个问题请教一下。公司回购股票用于员工持股，其资金来自哪里，相关政策是怎么规定的？会不会影响到广大中小股东的利益呢？谢谢！,股东与股权变动
你好，按照目前锂盐销售价格和锂矿采购价格，4季度利润趋势是否可以延续？另外，李家沟目前每天出矿600吨，销售输入和利润能否计入4季度数据，还是说算投资收益？,生产经营情况
请问，最新的股东人数是多少？,股东与股权变动
董秘您好，请问咱们具有自主知识产权的机器视觉软件平台arhawkvision.com有终端设备实际应用了吗？咱们会深耕3D视觉分拣行业吗？谢谢您！,生产经营情况
现在自动驾驶L4、L5销售情况如何，和比亚迪的合作，开始出货了吗,生产经营情况
请问10月20日股东数,股东与股权变动
10月19日结束的两笔股权拍卖，请问股份是否为限售股？股份过户到自然人名下后，是否可以不受限的在二级市场进行卖出？谢谢,股东与股权变动
董秘您好，请问截止10月20日，贵公司的股东人数是多少?谢谢,股东与股权变动
您好，请问贵公司截止2022年10月20日的股东人数是多少？,股东与股权变动
请问截止10月29日股东数量是多少,股东与股权变动
董秘您好，请问贵公司截止10月20日股东人数，谢谢。,股东与股权变动
你好，现在的股东数量为多少?,股东与股权变动
您好 公司在数字货币支付领域，现在有没有成熟的产品在使用?,公司基本状况
董秘，您好。 目前公司钛白粉生产线开工率是多少？,生产经营情况
你好！公司目前能生产转子级海绵钛，是国内第一家吗？国内还有其他家吗？,生产经营情况
尊敬的董秘：麻烦问一下贵公司截至到10月20日的股东人数，另外贵公司在新能源领域的布局进展情况可否简要介绍一下吗？非常感谢！,股东与股权变动
尊敬的董秘，您好!请问贵公司2022年8月18日发布的股权转让公告，截止今日距离公告已经40个交易日，请问目前该股权转让进展如何?谢谢!,股东与股权变动
比亚迪元plus510旗舰版在手订单有多少辆，该车月产量有多少台，每月交付量有多少辆?交车周期多久?9月份订的车要是交车时间是2023年了，国家补贴还享受吗?,生产经营情况
董秘你好！贵公司年报什么时候发布？营业收入三季度是多少、公司有没有什么发展战略？,生产经营情况
请问公司9月份的产销量快报什么时候发布？,生产经营情况
请问公司10月0号股东人数多少,股东与股权变动
关于研发的建议（1）：新能源汽车应该同时走以下两个设计和研发路线：1）延续燃油车那种以作为交道工具为主的传统路线。这个路线强调和侧重的是车子各种运动性能、参数和驾乘体验。目前比亚迪的全部新能源车型（包括王朝、海洋和腾势）的设计和研发走的仍然是这个传统燃油车的路线。,生产经营情况
请问贵公司如何去打造爆款游戏？现在除了传奇，没有一个游戏能进去前十排行榜。是要啃老到破产？,公司基本状况
公司有开展新能源、储能等业务吗？,公司基本状况
贵公司子公司盛趣游戏内部人员将游戏源代码出售导致上市公司损失收入和利润，请问公司是否知晓？,公司基本状况
请问公司及实控人名下其他关联企业近三年是否有失信记录？是否符合海南省纾困基金股权投资标准？,股东与股权变动
请问公司截止10月20日股东人数！,股东与股权变动
董秘你好：截止到10月14日的股东人数.谢谢！,股东与股权变动
董秘你好！关于投资贵公司投产于广西省东盟经济技术开发区，是否属实？,生产经营情况
董秘你好！请问比亚迪公司，是否投产广西东盟经济开发区锂电池厂商,生产经营情况
你好，董秘，目前换电模式在重卡/内河轮船方面开始广泛应用，比亚迪是否应该开启换电模式的研发和布局。争取更大市场份额，获取行业规则制定权。,生产经营情况
你好领导网传巴菲特减持BYD消息是否真实谢谢,股东与股权变动
祝贺公司取得极为优异的销售业绩，请公司尽快进行三季报业绩预告和三季报，将良好的业绩展现给股东。,生产经营情况
请问领导，公司目前有销售新能源车积分吗？有的话今年的销售积分数量和价格方便披露吗？,生产经营情况
董秘，你好，请问贵司各地区新能源汽车的销售占比分别是多少？,生产经营情况
你好，请问公司的工厂产能分布情况，各地区销售占比，前十客户收入占比，谢谢,生产经营情况
强烈建议贵公司在汽车的外观、内饰设计方面作进一步提升，向特斯拉、蔚来、精灵等品牌学习，对促进销量增长会大有裨益，,生产经营情况
维峰电子成功进入比亚迪的供应体系，升为直接供应商。内销市场绑定比亚迪，一线新能源汽车品牌比亚迪是重要客户。是不是属实？,生产经营情况
请问贵公司和延安必康是否有钠离子电池方面的合作？是否签订有采购或者中试协议？,生产经营情况
公司最新股东数,股东与股权变动
请问截止10月10日股东数谢谢,股东与股权变动
董秘好，请问贵司截止到10月20日收盘，股东总户数是多少？望回复，感谢！,股东与股权变动
公司在2021年年报显示，5G壳体的轻量化和高散热性能可以将更多的电子元件集成到一起，实现无人驾驶、虚拟现实的商用，从而进入全面数字化时代。 请问贵司，对“无人驾驶”、“虚拟现实”、“数字化”和贵司有关系吗？请对这三个关键词结合贵司业务输出，说明下，谢谢！,公司基本状况
尊敬的高管，能否劳驾您查查10月20日的股东数？麻烦您了！,股东与股权变动
您好，董秘！能否详细介绍一下贵公司在储能方面的运用？储能方面下一步的规划？谢谢啦！,生产经营情况
您好，董秘！能否介绍一下铅炭电池和钠离电池的优劣性吗？另外，贵公司铅炭电池已量产，销量、收入、利润如何？谢谢了！,生产经营情况
董秘你好，电池供不应求，好多储能企业停止接单，贵公司是国内储能龙头企业，不会也停止部分订单吧？,生产经营情况
欧洲储能市场需求强盛，储能排单都排到明年4月份了，，请问公司四季度出口到欧洲的订单是否有有所增长，公司产能是否能够满足欧洲市场需求,生产经营情况
深圳市奥拓体育文化发展有限公司和深圳前海奥拓体育文化投资有限公司都是贵公司的子公司，这两家公司的主营业务分别是什么吗？,公司基本状况
贵公司在MicroLED领域有何进展？又取得了哪些专利？,生产经营情况
有消息称，贵公司的智能播控管理系统完成了华为鲲鹏的兼容性认证，这是否符合事实？,生产经营情况
贵公司凭借强大的XR虚拟拍摄技术在国内外影视娱乐领域表现优先，也参与到《新蝙蝠侠》中，贵公司在这一领域有哪些知名的合作伙伴或客户？,生产经营情况
2022年半年度报告披露显示，贵公司参股了深圳市鹏鼎创盈金融信息服务股份有限公司，该公司的主营业务是什么吗？是否涉及到互联网金融领域？,公司基本状况
董秘你好，请问贵公司旗下中京医疗公司目前是在生产医疗设备还是医疗服务呢,生产经营情况
您好董秘，请问一下贵公司有和小米汽车达成供应合作吗，因为小米汽车的电子元件也包含了PCB电路板集成，目前小米汽车还在研发中，贵司有和小米汽车谈合作吗？,生产经营情况
董秘你好，请问贵公司的子公司叫什么名字呢？,公司基本状况
你好董秘，请问贵公司的产品与电热毯有关系吗?,公司基本状况
请问董秘，贵公司四季度是否有参与储能项目投标，国内国际是否有签订新订单,生产经营情况
建议公司直接买盐湖或者锂矿，生产碳酸锂或者氢氧化锂。做锂矿企业！这样来钱不但快，而且多！直接进入上游，上策也！！！,生产经营情况
请问公司截止到10月20日的股东户数是多少？谢谢！,股东与股权变动
请问公司截止到10月10日的股东户数是多少？谢谢！,股东与股权变动
请问贵公司在科创服务方面的业务有哪些？港交所拟修改上市规则，支持科创公司赴港上市，对于贵公司子公司---桥头堡科创有何影响？,公司基本状况
近日，由晶科牵头的江西省光伏产业科技创新联合体在上饶成立，将带领光伏产业向世界级发展。贵司被上饶城投收购多年了，目前在江西的业务拓展如何了，是否可以利用联合体快速发展光伏产业。,公司基本状况
公司回购股份过半，请问回购的股份是用于业绩目标激励还是注销？,股东与股权变动
尊敬的高管，能否劳驾您查查10月20日的股东数？麻烦您了！,股东与股权变动
请问，截止到2022年10月20日股东人数有多少？,股东与股权变动
你好，截止2022.10.20股东人数多少?谢谢,股东与股权变动
您好，衷心感谢你们不厌其烦地回答投资者的提问!请问截止10月20日最新的股东人数是多少？谢谢,股东与股权变动
贵司及控股、参股的子公司就“机器人”的相关研究、开发和应用情况，请董秘具体和投资者介绍下，谢谢！,公司基本状况
公司对特斯拉公司的“星链”计划是否有了解过？公司既生产研发5G网络、通讯设备，又与特斯拉保持友好合作关系，请问公司如何把自身优势与“星链”进行互补，更高的融入互联网网络生态圈？,生产经营情况
你好。请问公司有没有研究过研发或合作研发针对企事业单位的创业和职业培训类游戏项目？结合国内双创的大形势，建议公司加紧应对，创造新蓝海，实现均衡高质量发展。,生产经营情况
你好。请问公司有没有研究过将熟悉人民币介入游戏支付体系，实现全球同步支付结算？,公司基本状况
您好，请问公司近期是否有接政府比较大的电力能源项目，有的话订单金额是多少？,生产经营情况
公司有那些产品可以进行电储能,公司基本状况
董秘你好，公司海外工厂进展如何了？在手订单充足？能满足现在的产能需求？谢谢,生产经营情况
董秘，您好！请问截止在2022年10月20日公司股东数多少户，谢谢。,股东与股权变动
您好，请问，贵公司截止10月20日股东人数是多少？谢谢！,股东与股权变动
请问2022年9月28日和9月30日股东人数有什么变化,股东与股权变动
请问截至10月14日股东人数是多少？,股东与股权变动
你好董秘，贵公司10月11日的股东人数是多少。,股东与股权变动
公司是否聘请诺贝尔科学奖获得者担任公司首席科学家来发展信息技术,生产经营情况
公司实控人刘双广低位减持，原因为何？如果只是资金需求的话，低位减持意义在哪？,股东与股权变动
可以介绍下公司得智慧教育方面得业务么？,公司基本状况
从商标查询平台可知，奥飞在7月28日注册了商标“喜羊羊与灰太狼之守护”，请问这是什么类型的作品,生产经营情况
董秘，您好！请问公司有在德国开展业务吗?如有，在外贸比重如何?谢谢！,公司基本状况
你好，董事长。请问贵公司于2022年10月20日的股东人数是多少？谢谢。,股东与股权变动
董秘好，请问贵司截止到10月20日收盘，股东总户数是多少？望回复，感谢！,股东与股权变动
请问截至10月20日公司股东户数，谢谢！,股东与股权变动
董秘，国庆长假已经过了，该出来回答小投资者问题了！上市公司每年承担的退休人员工资大概多少亿？每年都在递增吗？武昌船舶的产能达到设计的百分百了吗？新厂区比旧厂区产能提升了多少？,生产经营情况
董秘你好！随着九月份销量的公布，今年总销量离年度目标600万辆越来越远了，这几年新出的几个车型，飞凡er6和飞凡R汽车都销量惨淡，被冠以高端品牌的上汽奥迪销量也不忍直视，不知管理层对此有何对策？至于股价，市净率已经跌破0.6，六折都没人要的境地，希望管理层切实做出大的变革，低头听听消费者的声音。,生产经营情况
尊敬的董秘，请问公司作为氦气氢气龙头企业，目前氦气跟氢能源业务进展如何？,公司基本状况
董秘，请问公司有跟中远海能一样拥有港口以及航运业务吗,公司基本状况
董秘，请问公司有航运港口业务吗,公司基本状况
董秘你好！随着九月份销量的公布，整体中国市场增长还算乐观。在同档次其他车企已表现在了股价，上汽也有不错增长，但我们上汽股价却是一路向下是怎么做到的，请问是有哪些不利因素影响了投资者信心？,生产经营情况
尊敬的董秘，请问公司拥有航运港口业务吗？,公司基本状况
董秘，请问欧洲壳牌是公司的客户吗？公司今年有向它供货吗,生产经营情况
董秘，截止9月1号请问公司销售了多少吨天然气到国外了？,生产经营情况
董秘 公司净资产 23.7852 可公司目前股价才14.00元 大股东增持是不是可以加大?公司是不是回购也可加大？,股东与股权变动
能否讲讲公司最近新产能投产和激光雷达芯片的进展情况？谢谢！,生产经营情况
董秘您好，之前贵公司公告越南项目由5GW电池➕组件改8GW电池➕组件，目前听闻越南项目处于停工状态，请问是什么原因?目前美国已经对东南亚国家的光伏组件出口关税豁免，请问越南什么时候能投产?,生产经营情况
贵公司在储能板块是否有产品出口到欧洲市场？,公司基本状况
公司逆收购的新浦自动化，其业务范围是否可以涉及储能电池领域？,公司基本状况
公司联合宁德时代、两桶油切入换电领域，但现阶段原材料价格高企，自持电池资产是否在未来会遭受大量的资产减值损失，公司如何考量、设计及规划？,生产经营情况
尊敬的董秘，你好 为什么公司员工在私下大量购买公司的股票？公司跟国外客户签订了重大合同为什么不及时告知投资者？,生产经营情况
请问公司与illmina的知识产权赔偿款，3亿多美元结汇了吗？什么时候结汇的？这笔款项下一步有何打算处置？,生产经营情况
公司拟收购的新浦自动化，旗下产品是否有用于光伏领域？,公司基本状况
请问，攻击11，是沈飞设计的产品吗？,公司基本状况
董秘，请问公司有出口天然气到欧洲吗？公司今年国外业务占比是多少？,公司基本状况
请问贵公司目前和浙江大学合作的业务有哪些？,公司基本状况
您好，请问，贵公司截止10月20日股东人数是多少？谢谢！,股东与股权变动
请问，截至2022年10月20日，公司的股东数是多少？谢谢,股东与股权变动
尊敬的董秘，人民币贬值对于贵公司有何具体影响？请详细解答，谢谢！,生产经营情况
尊敬的董秘你好，公司董事长年薪一年2000多万排名A股第二，今年减持规模巨大，达到90多个亿，请问董秘，董事长是否出现财务危机？是否会将公司股份质押出去？,股东与股权变动
请问，截至2022年10月20日，公司的股东数是多少？谢谢,股东与股权变动
目前股东人数是多少呢,股东与股权变动
请问贵公司数字经济业务分哪板块，占比多少？,公司基本状况
董秘好！建议贵公司用每年净利润的20％回购注销股份，尤其是价值严重被低估时，请将此建议提请股东会表决。,股东与股权变动
请问截止2022年10月20日收盘，公司的股东户数是多少？非常感谢能够尽快回复。,股东与股权变动
请问，截至2022年10月20日，公司的股东数是多少？谢谢,股东与股权变动
你好，请问截止2022年10月20日，公司股东人数多少？谢谢,股东与股权变动
请问，截至2022年10月20日，公司的股东数是多少？谢谢,股东与股权变动
公司在储能领域是否有投入和产品？,公司基本状况
你好！请问公司在向客户提供临床I，II，III期样品生产服务开具的是多少税率的增值税？在给客户提供中试生产服务的时候是开具多少税率的增值税？当与客户合同中同时有生产服务以及技术服务的，企业开具的增值税税率是多少？,生产经营情况
【9月20日、9月26日】奥浦迈:投资者调研记录表中“Q：壁垒主要在那些方面？A：配方和生产工艺，以及先发优势。还有上市后变更法规的壁垒。” 请问，“上市后变更法规的壁垒”的具体壁垒？其壁垒的国内外竞争对手及贵司优劣势？谢谢！,生产经营情况
董秘好，请问贵司截止到10月20日收盘，股东总户数是多少？望回复，感谢！,股东与股权变动
请问2015—2021年公司人均钢产量走势图，能否对外公布一下，方便股东对标一下公司人均钢产量提升速度和行业比，进步如何，请问我们这样问，可以不？,生产经营情况
包钢股份10月12日在互动平台表示，公司拟委托矿业集团进行铁矿石采购谈判。请问公司如何看？市场都在看下一个钢企是谁？会不会是公司？,生产经营情况
明年是一带一路提出10周年，请问公司近两年在一带一路上的项目开展情况如何，另外，公司在中亚的项目开拓有何规划？,生产经营情况
港股估值那么低，建议贵公司应稳定股价，考虑用自有资金回购公司港股股份,股东与股权变动
贵公司有没有其他突破口的业务？上市以来，直接躺平是不是不好？,公司基本状况
首先.感谢你们不厌其烦的回复我们提出的问题。請問把带有时间和姓名的股票交易软件持仓截图和身份证一并扫描发送至公司邮箱，可以获知 非定期报告相关时点的股东人数吗？盼你们具体，明确答复。顺祝你们，身体健康，万事如意， 【比如截至到2022年10月20日贵公司的股东人数是多少？..,股东与股权变动
董秘你好！请问公司哪些在研和已上市的产品是First－In—Class（同类首创）产品？谢谢！,公司基本状况
看报道说贵公司很早就和比亚迪等一起布局动力电池回收业务，请详细介绍下动力电池回收业务布局情况？,公司基本状况
《中证报》近日消息，业内人士证实钴金属要被战略收储，请问公司的涉及钴的产品有哪？供应链稳定吗？谢谢,公司基本状况
请问贵公司有和宁德时代，比亚迪合作吗？请介绍下具体合作了哪些业务？,公司基本状况
请贵司，截止2022.6.10股东具体人数多少？，,股东与股权变动
首先.感谢你们不厌其烦的回复我们提出的问题。請問把带有时间和姓名的股票交易软件持仓截图和身份证一并扫描发送至公司邮箱，可以获知 非定期报告相关时点的股东人数吗？盼你们具体，明确答复。顺祝你们，身体健康，万事如意， 【比如截至到2022年10月20日贵公司的股东人数是多少？.,股东与股权变动
昨日央视报道世界首个电磁推进地面超高速试验取得每小时1030公里，请问公司是否有相关电磁推进技术储备或应用?目前公司磁悬浮大功率变流器项目升级换代情况如何?公司对这方面业务有那些进展或规划,生产经营情况
董秘您好：2022年家电市场除了集成灶还维持正增长外就要算集成洗碗机增速较快，不知公司在这方面是否有布局，销量如何？,生产经营情况
公司有信创产品和业务吗？,公司基本状况
首先.感谢你们不厌其烦的回复我们提出的问题。請問把带有时间和姓名的股票交易软件持仓截图和身份证一并扫描发送至公司邮箱，可以获知 非定期报告相关时点的股东人数吗？盼你们具体，明确答复。顺祝你们，身体健康，万事如意， 【比如截至到2022年10月20日贵公司的股东人数是多少？.,股东与股权变动
首先.感谢你们不厌其烦的回复我们提出的问题。請問把带有时间和姓名的股票交易软件持仓截图和身份证一并扫描发送至公司邮箱，可以获知 非定期报告相关时点的股东人数吗？盼你们具体，明确答复。顺祝你们，身体健康，万事如意， 【比如截至到2022年10月20日贵公司的股东人数是多少？.,股东与股权变动
请问，截至2022年10月20日，公司的股东数是多少？谢谢,股东与股权变动
董秘，您好！ 建议贵司投资生产无极耳4680电池，让中国电池在世界立足，原料不深加工，股价都不能得到好的估值。 谢谢！,生产经营情况
请问最近日期公布的股东人数是多少？,股东与股权变动
请问公司为何选择性公布股东户数，为何不回复9月30日股东户数？,股东与股权变动
请问，截至2022年10月20日，公司的股东数是多少？谢谢,股东与股权变动
董秘你好，请问公司目前哪些在研和已上市产品属于一类新药，哪些属于first-in-class?谢谢,公司基本状况
请问截止2022年10月20日的股东人数？谢谢,股东与股权变动
请问，截至2022年10月20日，公司的股东数是多少？谢谢,股东与股权变动
请问贵公司目前阿洛酮糖及抗性糊精的产能是多少呢，未来规划产能有多少呢,生产经营情况
旧地铁线路改造看不到公司的营收、海外轨交信号业务三年也就一单生意，完全依靠国内市场而且还要看政策规划，一眼看到头的公司市场是不会给太高估值，请问公司这方面的考虑和布局是什么？,生产经营情况
董秘你好，请问贵公司目前的股东人数是多少？,股东与股权变动
公司主业是轨交信号系统，受政策影响非常大，而且可以预见的未来增长有限，请问公司管理层公司是否有新业务的第二增长曲线？具体是什么？新能源汽车轨交都在交通大的赛道上，未来市场有100万亿的容量，公司是否考虑在这条赛道上布局？,公司基本状况
请问公司参股的蓝科锂业技改成效如何？目前产销情况如何？此前签订的长协合同共计多少量？签订对象分别为哪些？,公司基本状况
你好，请问贵公司如何看待旗下经销商成都建国哈弗4s店将销售权授权给第三方店铺的行为？请问贵公司是否允许经销商的这种无序经营、损害品牌形象、坑害消费者的行为？,生产经营情况
对近三年新能源开发涉及哪些车型？售价和续航大致如何？,生产经营情况
网上报道说公司是网络空间内生安全技术与产业联盟会员和拟态技术标准起草单位之一，公司全球首次成套拟态防御网络设备上线，是否属实？,生产经营情况
董秘你好！最近朋友需要买一台重卡，想买贵司氢能源的，一来价格显著高于传统燃油车，二来加氢站或许并不完备，担心跑长途路上趴窝，请问贵司是否有氢能源重卡后置补贴？目前贵司售出多少台、用户普遍反馈如何？一次加氢，规定负荷载重情况下，续航里程有多少？贵司是否支持购车融资租赁、分期付款等业务？,公司基本状况
请问一下，九月份新增的风景G7自动档车型，4S店都没有现车，也不能定。是产能跟不上还是什么原因？但是有其它路径加价到12.95万却可以定，指导价才10.24万的呀！据了解，有这车型需求的客户很多。希望公司可以调查清楚原因，满足市场需求，让消费者得到应有的实惠。,生产经营情况
您好！请问公司今年以来有拓展到哪些新客户吗？能否介绍一下，谢谢！,生产经营情况
请问，截至2022年10月20日，公司的股东数是多少？谢谢,股东与股权变动
目前贵司现在三氯氢硅总产能是6.5万吨（不含7.22万吨扩建），对外销售光伏级三氯氢硅是否有4.5万吨？,生产经营情况
公司摩托车产品产销情况。,公司基本状况
请问公司2022年10月20日股东户数多少户？,股东与股权变动
请问两个问题。 网传李瑞峰升任长城汽车CGO，以WEY品牌这么拉胯的销售，作为品牌CEO不仅没有处理反而升职是什么原因？ 还有轮值CEO制度也说要取消，这个轮值CEO制度难道就是把王总给轮掉后就完成使命了么？,生产经营情况
贵公司为什么随意拖欠供应商尾款呢？随意更改尾款结付时间呢？,生产经营情况
11年了，连续下跌，让多少股民失望绝望！30多年企业，为什么现金流比较充裕不去改变。回购股份给激励内部无可厚非，但是请问跟着公司走了11年的股民怎么办？请认真回答，别复制粘贴了！,股东与股权变动
公司的天然气运输船承接国际业务吗,公司基本状况
大股东公告要减持， 为什么又一股没卖？ 这不是故意放利空，扰乱市场吗？有什么办法能更好的管理？,股东与股权变动
公司领导，你好。近期LNG-FSRU是集LNG接收、存储、转运、再气化外输等多种功能于一体的特种装备，既可作为LNG船具有运输LNG的功能，又有替代陆上LNG储罐储存LNG的功能。 LNG FSRU船被买家玩出了新的用途，这将扩大运用领域，请问贵司有没有这种船？如何满足客户新需求？,生产经营情况
公司领导，你好。贵司业务以前主要是俄罗斯，如今中东，安哥拉天然气市场如火如荼，这两个地方相对北极天气较热，请问贵司如何拿出实际行动，开拓中东，非洲市场？目前动用了什么手段？,公司基本状况
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
董秘好，幸苦告知一下国贸三期土地使用权的截止日期。,生产经营情况
董秘，公司近期股价涨幅巨大，业绩却一直下滑，请问公司有考虑收购九丰能源，布局国际业务吗,公司基本状况
国资委出台《提高央企控股上市公司质量工作方案 》中明确提到:上市公司要履行承诺、解决同业竞争、规范关联交易。关于卫星制造八院有制造小卫星、天津柔性制造工厂计划量产小卫星，这些是否构成同业竞争？另公司营业收入没多大增长、采购上的关联交易反而上涨。控股公司是否传达切实履行承诺、改变现状？,生产经营情况
董秘您好，请问贵公司抗癌药ARX788三期进展如何，公司本预计9月份公布，目前已超过半个月，希望能给予回复。贵司钠离子电解液生产车间建设如何，规划何时投产，谢谢。,生产经营情况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年9月9日，公司的股东数是多少？谢谢,股东与股权变动
董秘你好，公司主业从化工领域转型到无人机领域，请问公司的技术支持来自哪里？另外，公司有没有计划利用资本市场的优势把无人机这个版块做强做大？谢谢！,生产经营情况
你好 公司的医院什么时候开业,公司基本状况
证监会出台支持上市公司回购股份的利好，周日晚有几百家上市公司适时及时发布了回购公告。作为股价严重跌破净资产的宁夏建材，而且作为央企理应最先响应国家层面的积极政策。强烈要求公司抓紧回购股份以促使股价回归正常。谢谢。,股东与股权变动
您好，据了解公司近几年功能性材料发展很快，请问除了抗裂和风电灌浆料以外，还有哪些代表产品？市场应用怎么样呢？,公司基本状况
