请问2021年9月30日公司最新的股东人数和机构持股情况，谢谢	您好，请告诉我2021年9月30日该公司最新股东数量和机构持股情况。谢谢。	1
最近海外疫情负重，公司的小分子试剂，蛋白，或许酶方面的研究产品销量有没有明显提升？	随着近期海外疫情负荷，该公司小分子试剂、蛋白质和酶的销售是否显著增加？	1
请问董秘，贵公司在元宇宙领域是否有合作和应用，未来5G和元宇宙领域是否有更深层的研发和规划？希望能看到更多贵公司的利好消息，可以提振兆龙互联股价。	董秘，贵公司在梅塔巴斯领域是否有合作和应用？未来在5G或元巴斯领域有没有进一步的研发和规划？希望贵公司能看到更好的消息，这能提振兆龙互联的股价。	1
董秘您好，创业板上市企业（稳健*疗）2021年以提供线上优惠券的方式对在册股东回报感谢，成大是否可以借鉴类似营销方式，未来增加投资者与公司的互动，不仅正向回馈股东，同时也促进自身产品的销售。	您好，董秘，创业板上市公司(稳健*疗法)2021年提供网络政客回报得益于注册股东。成大未来能否借鉴类似的营销方式，增加投资者与公司的互动？不仅还原给股东，还促进了本公司产品的销售。	1
您好，请问贵公司的产品或技术在大飞机上有应用吗？针对传统工艺或产品，贵公司的优势体现在哪里？	请问您的产品或技术在大型飞机上有什么应用吗？在传统工艺或产品方面，贵公司有哪些好处？	1
公司“抗新冠肺炎药磷酸氯喹中间体 APA的连续化新工艺开发 ”项目进度是否已经完成？谢谢	公司“抗新冠肺炎药物磷酸氯氮酮中间体APA持续新技术开发”项目进展情况如何？谢谢你，谢谢	1
请问公司核心技术人员离职对公司业务有什么影响吗？	公司核心技术人员的离职是否对公司业务有影响？	1
董秘您好，贵司的产品上半年销售如何？产能利用率如何？	董秘，您好。贵公司上半年的产品销售情况如何？生产能力的利用率是多少？	1
董秘您好，请问截止12月20日股东人数？谢谢！	董秘，请问可以告诉我截至12月20日的股东人数吗？谢谢。	1
请问贵公司：贵公司上市以来有没有商誉减持？	请问贵公司：贵公司上市以来，营业权有没有下降？	1
贵企业离台海这么近，如解放台海，贵公司产品可做出什么贡献？	你的公司离台湾海峡这么近，如果你解放了台湾海峡，你的产品怎么能贡献？	1
请问截至12月24日，公司的股东人数是多少，谢谢！	请问到12月24日，公司股东人数是多少？谢谢你！	1
公司7月份披露说2021年储能变流器出货量约100MW。那2022年上半年储能变流器出货量多少GW？上半年储能变流器的销售额有多少？	该公司7月时披露，2021年储能转换器出货量约为100兆瓦。储能转换器2022年上半年出货量是多少？上半年储能转换器销售情况如何？	1
公司目前的产能利用率有多少？	该公司目前的产能利用率是多少？	1
请问高迪女士，截止目前最新的股东人数是多少？谢谢！	告辞了。高迪先生，迄今为止最新的股东数量是多少？谢谢。	1
公司产品能否应用到VR及AR声学领域？	我们的产品能否应用于VR和AR音响领域？	1
董秘，您好，请问截止2021年12月20日，咱们的股东户数是多少，谢谢！	董秘，请问2021年12月20日前有多少股东？谢谢。	1
请问截止目前，公司股东人数为多少，谢谢！	到目前为止，该公司的股东数量是多少？谢谢。	1
请问，近期启动的国家一期风光大基地项目，是否在集团十四五的发展规划中？是否算是计划之外的项目？请详细介绍当前公司参与的内蒙古库不齐、青海、甘肃等地的一期风光大基地项目，项目装机规模、投资额度以及预计的并网时间？	请问国家风景区一期工程是不是最近在集团的14、5规划中启动的？这是计划外的项目吗？请详细说明该公司在内蒙古、青海、甘肃等地参与的景区大基地一期工程、项目设置规模、投资额及预计投放时间。	1
您好，请问，贵公司截止10月20日股东人数是多少？谢谢！	请问到10月20日，你们公司的股东数量是多少？谢谢。	1
董秘你好！公司产品所需要的芯片受美国制约吗？影响面有多大？	你好，董秘！那家公司的产品所需的芯片受到美国的限制吗？影响有多大？	1
公司产品有没有应用于基建项目	该公司的产品是否用于基础设施项目？	1
董事长你好！请问公司抛开新冠病毒疫苗，凭公司现在已经投放市场的疫苗和在注册审批的新开发疫苗，公司所描绘的前景是怎么样的？今年计划的销售收入会达到什么水平？净利润会比2020年有明显的增长吗？在未来几年公司的总体战略目标是什么？谢谢！	你好，主席！我想让你把新型菌落病毒疫苗置之不理，随着该公司已经上市的疫苗和新开发的注册和批准的疫苗，该公司解释的前景是什么？今年的计划销售收入将达到什么水平？净利润会明显高于2020年吗？公司未来几年的总体战略目标是什么？谢谢。	1
最新资料显示，中金公司丰众36号员工参与创业板战略配售集合资产管理计划在上市时持有的237.43万股在最新的三季报只剩181.33万股，而资料上显示此持股计划的解禁时间是明年5月10日。请董秘认真回答公司的员工持股计划是否存在违规减持的现象？	最新数据显示，中国国际金融公司丰中36名员工上市时参与创业板战略配售集资合资管计划的237.43万股，仅为最新三期报的181.33万股，而数据显示，该持股计划将于明年5月10日解禁。请认真回答董秘。公司员工持股计划是否有违规减持行为？	1
董秘您好，请问贵公司的产品在国内市场和国外市场都有销售吗？	董秘，您好。你们的产品有在国内外市场销售吗？	1
为了打造新的产业增长极，同时践行绿色发展战略，落实国家碳达峰、碳中和有关政策要求，建议贵公司利用卖出的东北证券股权资金，大力发展新能源，储能以及光伏产业，打造新的利润增长点！	为打造新的产业增长极，落实绿色发展战略，落实国家碳峰和碳中和的相关政策要求，贵公司建议利用出售的东北证券股权基金，大力发展新能源、储能和光伏产业。创造新的利润增长点！	1
最新股东人数是多少？	最新的股东人数是多少？	1
请问公司到9月30日，公司在手定单是多少？公司的产能利用率超过100%100吗？	请问公司要在9月30日前订购多少？公司产能利用率是否超过100%？	1
董秘你好，请问截止11月30日股东人数，谢谢。	董秘你好。你能告诉我截至11月30日的股东人数吗？谢谢。	1
请问，截止10月30日，公司股东人数？机构数？谢谢！	告辞了。到10月30日，公司股东人数是多少？有几个机构？谢谢。	1
您好！请问贵公司在行业是出于什么地位？市场占有率有多少？公司未来发展是通过抢占其它公司市场占有率？还以创新拓展新业务？还是通过资本扩张兼并优质同行业公司以及上游软件等公司？	你好！贵公司在行业中的地位是什么？市场占有率是多少？公司未来的发展是通过抢夺其他公司的市场份额吗？通过创新来开展新业务吗？还是通过资本扩张，收购同行业的优质公司和上游软件公司？	1
公司2021年财报有显著增涨，但股价下行幅度较大，请问2022年继续增加是否有遇到很大难度？ 公司是否可以报告投资人准备采用何种策略来保持公司稳定发展，防止业绩大起大落。是否考虑回购股份维持合理市值。另外建议公司采取一些更积进的发展策略而不是保守策略，危机也会产生很多机遇。	该公司在2021年财报中大幅增加，但股价大跌。在2022年添加代码是不是很难？公司是否可以报告投资者采取了哪些策略来维持公司的稳定发展，防止业绩起伏。是否考虑回购股票以维持合理的市值？此外，建议企业采取更进步的发展战略，而不是保守的战略，危机也将创造更多的机会。	1
5G高速发展，车联网，物联网，万物互联也是飞速发展，公司作为切入物联网的智能制造企业，是否有研发身边万物互联的核心模块：无线通讯模组？对无线通信模组的行业发展，是否有战略切入或扩大计划？	随着5G的快速发展，物联网也在快速发展。作为一家适合物联网的智能制造企业，公司是否拥有物联网的核心模块：无线通信模块？无线通信模块行业的发展有没有战略性的切入或扩展计划？	1
董秘你好,新闻报道公司有参加2021年珠海航展，请问是否有涉及军工业务？谢谢！	你好，董秘。新闻报道公司参加了2021年珠海航空展。它是否与军事业务有关？谢谢。	1
请问到10.20股东人数是多少	股东人数不超过10.20人有多少？	1
请问公司有什么优势能成为2022年北京冬奥会的特许生产商和销售商？	该公司能成为2022年北京冬奥会专利制造商和经销商有哪些好处？	1
您好，我是贵公司持股股民，公司地处浙江杭州，请问公司有参与杭州亚运会建设吗？浙江共同富裕示范区建设是否给公司业务带来提振效果？	抱歉，我是贵公司的股东。公司位于浙江省杭州市，公司是否参与杭州亚运会的建设？浙江共同富裕示范区的建设对公司业务有激活作用吗？	1
董秘好，请问公司产品在航空航天领域具体有哪些可应用领域及已有应用案例？	董秘，公司产品在航天领域有哪些具体的应用领域和现有的应用案例？	1
新国脉是贵公司控股上市公司，毫无核心技术亮点，业绩今年来一直亏损，作为控股股东是否对新国脉进行吸并整合，目前而言新国脉在电信业务中扮演什么角色，未来盈利模式是否期待向高科技服务方面转换。	新国脉是贵公司控股的上市公司，没有核心技术亮点，今年业绩一直亏损。作为控股股东，是否吸收整合了新的国脉？新国脉目前在电信业务中扮演着怎样的角色？未来的盈利模式能否有望向高技术服务业转型？	1
董秘好，我是贵公司的一名长期投资者，请问贵公司，截至2021年11月15日，公司的股东数是多少？谢谢！	董秘，我是贵公司的长期投资者。截至2021年11月15日，贵公司股东数量是多少？谢谢。	1
近几个月铁锂电池装车已远超三元，请问公司对高镍的前景怎么看？技术路线转变对公司未来的产能利用率有没有影响？谢谢	近年来，铁锂电池的负载量已经远远超过3元。该公司对高镍的前景有何看法？技术路线的改变是否对公司未来的产能利用率有影响？谢谢你，谢谢	1
董秘您好,请问氢动力轮椅研究得如何了?	董秘，您好。氢轮椅的研究是怎样的？	1
请问，截至2022年7月8日，公司的股东数是多少？谢谢	请问到2022年7月8日，该公司的股东数量是多少？谢谢你，谢谢	1
请问公司的产品，与阿兹夫定有何实质关系？公司的尿苷在应对新冠疫情方面有何作用？	请问该公司的产品与阿兹武定的真正关系是什么？该公司的尿苷在应对新冠肺炎流行方面发挥了哪些作用？	1
南通招商蛇口开发的滨江道项目，华发股份有没有参股呀？权益比例多少？	南通吸引蛇口开发的滨江路项目，有华发股份参与吗？股票的比例是多少？	1
董秘您好！公司三氯化磷年产量多少吨？谢谢！	董秘你好。这家公司的年产量三氯化磷有多少吨？谢谢。	1
请问11月10日股东人数是多少？谢谢！	11月10日的股东数量是多少？谢谢。	1
董秘你好，截止2021年12月15日贵公司股东户数是多少，谢谢！	你好，董秘。截至2021年12月15日，贵公司股东数量是多少？谢谢。	1
请问公司新能源车是否使用车载充电机	该公司是否在新能源汽车上使用车载充电器？	1
数字人民币App试点版正式上线，请问贵司是否有数字人民币方面的技术储备？有无相关的场景应用商业合作案例？	数字人民币App试点版正式上线。贵公司是否有数字人民币的技术储备？是否有适用商业合作案例的相关场景？	1
众所周知，歪果仁对户外电源的需求一直很旺盛。地广人稀的人口分布，野营、蹦极、漂流等户外运动都有足够的施展空间。就算在疫情当下，仍阻挡不住他们走出家门的脚步。贵公司有户外电源产品吗，哪里可以购买？	众所周知，外国人对室外电源需求旺盛。因为人口很少，所以有足够的空间去做露营、蹦极和漂流等户外运动。即使在疫情发生的瞬间，也无法防止他们走出家门。贵公司有室外电力产品吗？在哪儿能买到那些？	1
请问贵公司截止今天股东人数多少？	到今天为止，你们公司的股东人数是多少人？	1
请告知截止到1月20日，最新股东人数，谢谢！	请告诉我截至1月20日的最新股东人数。谢谢。	1
春雪迎春系列食材是你们公司的产品吗？	春雪迎春系列的配料都是贵公司的产品吗？	1
请问，截至2022年三月 18日公司的股东总数是多少？谢谢	请问到2022年3月18日，公司股东总数是多少？谢谢你，谢谢	1
您好，请问截止1月10日最新的股东人数是多少？望告知一下，谢谢	您好，到1月10日，最新的股东人数是多少？请告诉我。谢谢。	1
你好董秘  公司产品有应用于核电领域吗？	请问董秘的产品是用于核电领域的吗？	1
公司主营业务不是电力和电煤的经营吗，为什么会被划归为批发业而不是电力？	该公司的主营业务不是电力或动力煤，为何被归类为批发而非电力？	1
截止到2021年11月30日股东人数是多少？多谢回复！	到2021年11月30日，股东人数是多少？谢谢您的回复！	1
董秘你好，贵公司业务是否涉及军工产品，有无此方面的发展规划？谢谢	请问董秘，你的业务涉及军工产品吗？你在这方面有什么发展计划？谢谢你，谢谢	1
董秘您好！时速600公里磁悬浮高铁列车通长部件焊接技术及国内首台600吨惯性摩擦焊机已研制成功，均走在世界前列，不但解决国内“卡脖子”、“补短板”的关键焊接技术难题、替代进口，还丰富了产品构成，拓宽了企业发展路径。请问是贵公司研发的产品吗？	董秘你好。时速600公里磁浮高速列车贯通件焊接技术和我国首台600吨惯性摩擦焊机研制成功，均走在世界前列。它不仅解决了国内“卡脖子”、“短短板”焊接关键技术难题，丰富了产品构成，拓宽了企业发展路径。请问这是贵公司开发的产品吗？	1
亚盛饮马分公司是不是生产肉牛？	亚生水马分公司有肉牛吗？	1
董秘好，公司是否有机器人相关产品出售，具体为那些智能产品？公司是否有新能源汽车相关产品？主要客户有哪些？	董美，公司有卖机器人相关的产品吗？特别是有那些智能产品吗？那家公司有新能源汽车相关的产品吗？主要客户是什么？	1
现在是否有医院已下订单或者有意向订单？	有订购的医院或预定订购的医院吗？	1
尊敬的董秘你好，请问贵公司在沪深两市上市公司中有无同类型产品的竞争对手？市场占有率是多少？谢谢	请问董秘，沪深两市上市公司中是否有同类产品的竞争对手？市场占有率是多少？谢谢你，谢谢	1
中一签未抛，深度被套。请问咱们公司有光伏逆变器技术和产品么？IGBT	第一场胜利不是投的，深度是平局。我们公司有光伏逆变器技术和产品吗？IGBT，IGBT	1
公司有否考虑制作一款中国的元宇宙足球游戏？	该公司有没有考虑过制作中国梅塔巴斯的足球游戏？	1
金龙鱼与今年年中收购了广东广味源调味品公司，目前在广味源线上以及线下渠道售卖的产品收入纳入金龙鱼财报么？非常感谢。	金龙鱼和今年年中收购的广东广味源调味品公司，目前在广味源在线线下线下销售的产品收入是否已进入金龙鱼结算？非常感谢。	1
为增加投资者信心，恳请贵公司回购股票，谢谢。	为了增强投资者信心，我们敦促贵公司回购股票。谢谢。	1
您好，截至2021年11月19日，公司股东人数是多少？谢谢	您好，截至2021年11月19日，股东人数是多少？谢谢你，谢谢	1
董秘你好，请问截止到11月10日，华利集团股东人数是多少呀？谢谢	董秘，您好，到11月10日，华立集团的股东人数是多少？谢谢你，谢谢	1
你好，请问懂秘，9月10月甘源是否限电，对产能是否有影响，及交货周期。河南工厂之前调研说四季度投产，请问现在是否投产，谢谢	我想问一下秘诀，请问9月10月有姜源限电吗？产能、交货周期是否有影响。这家位于河南的工厂表示，它已在第四季度开始生产。你想知道那个现在是否生产吗？谢谢。	1
请问贵公司在手订单还能生产多久？有新的大订单吗？	请问贵公司手头的订单能生产多少？有新的大订单吗？	1
董秘你好，公司目前战略合作了多少家房企，另公司招标项目中有多少份额来自于战略招标。	请问董秘，公司目前有多少家房地产企业在进行战略合作？公司的招标项目有多少份额来自战略竞争价格？	1
董秘，您好，请问截止2021年11月10日咱们的股东户数是多少？谢谢。	董秘，您好，到2021年11月10日，我们的股东户数是多少？谢谢。	1
你好截止4月20股东人数是多少	您好，到4月20日的股东人数是多少？	1
董秘你好！ 请问贵公司就  国家发改委关于《“十四五”冷链物流发展规划》《“十四五”国家骨干冷链物流基地建设实施方案》《关于推动冷链物流高质量发展 助力构建新发展格局的意见》等方面是否有相关配套规划？谢谢！	你好，董秘！贵公司对国家发改委“十四五规划”、“国家骨干冷链物流基地建设实施方案”、“关于推动冷链物流高质量发展构建发展新格局的意见”等是否有相关配套规划？谢谢。	1
董秘你好，请问公司今年以来的合同订单如何？是否较往年有很大的增长？	董秘你好。到今年为止，该公司的合同订单有哪些？比几年前长得大吗？	1
上次董秘回答司正在推动碳纤维、麻纤维等新材料应用技术，迎合未来汽车轻量化的发展趋势。请问，目前炭纤维 麻纤维新材料都有哪些技术储备或者专利。	上一次，董秘回应称，公司推广碳纤维、大麻纤维等新材料的应用，以迎合未来汽车轻量化的发展趋势。请问目前碳纤维和大麻纤维新材料的技术储备或专利有哪些？	1
请问贵公司如何抓住欧洲的冬季消费市场？最近欧洲的家纺订单是否有所增加？	贵公司如何占领欧洲冬季消费市场？最近欧洲的家纺订单增加了吗？	1
请问到目前公司股东人数是多少？股东是否有减持意向？谢谢	到目前为止，该公司的股东数量是多少？股东是否有意减持？谢谢你，谢谢	1
利用深度学习算法，人工神经网络可以接受大量显微镜图像数据集的训练，通过这些图像，它可以学习识别新冠病毒特征模式。训练和验证完成后，神经网络便可自动检测体液中新冠病毒。请问公司是否具备研发全自动新冠病毒检测显微镜的能力？	使用深度算法，人工神经网络可以在大量的显微图像数据集进行训练，通过这些图像，可以学习识别新的冠状病毒特征模式。经过训练和验证，该神经网络可以自动检测体液中的新型冠状病毒。该公司是否有能力开发全自动新型冠状病毒检测显微镜？	1
请问公司航展参展产品有哪些呢？	参加航空展的公司有什么产品？	1
请问公司年报里面显示的经营管理人员 1425人，业务职能人员是1167 现场运行及支持人员 1974人 请问核电站是否考虑优化一下？有优化的空间？随着公司经营效率提高，公司是否考虑提升一下人均产能？通过技术提高 降低人数	请问公司年报显示，公司运营管理人员1425人，业务功能人员1167人，现场驾驶辅助人员1974人，核电是否考虑优化？有优化的余地吗？随着公司经营效率的提高，公司是否考虑提高人均运力？因技术改良而减少人员	1
加密数字货币是使用密码算法的数字货币，最主要的几大特性是去中心化、加密解密技术、区块链技术、共识机制等；吉大正元主营业务是以密码技术为核心，开展信息安全产品的研发、生产和销售及服务。请问，公司的股票，目前为什么没有数字货币概念？谢谢！	加密数字货币是一种使用加密算法的数字货币，其主要特点是去中心化、解密技术、区块链技术、共识机制等。吉大正元的主要业务是基于密码技术。开展信息安全产品的研发、生产、销售和服务。请问这家公司的股票，为什么没有数字货币的概念呢？谢谢。	1
贵司今年酒类产品销售额占比多少？	贵公司今年的白酒销售额占多大比例？	1
您好，公司的产品是否可以服务于元宇宙相关企业的应用场景？谢谢	您好，该公司的产品可以服务于梅塔巴斯相关企业的应用场景吗？谢谢你，谢谢	1
请问公司截止目前股东人数是多少，谢谢您的回复。	到目前为止，该公司的股东数量是多少？谢谢您的回信。	1
贵公司生产车载摄像头吗？销量怎样？	你们公司生产车载摄像头吗？销售情况如何？	1
董秘好  请问贵司最近有没有新的订单？或者项目最近是否有新的进展？谢谢	董米浩，最近有新订单吗？或者，这个项目最近有了新进展吗？谢谢你，谢谢	1
智暖岩板是保温产品，还是发热产品？	知温岩板是隔热产品吗？还是暖气产品？	1
请问董秘 该公司财务数据净利润增长1倍左右，请问利润主要来源为国防军工订单还是口罩无技术含量订单。 是否涉嫌财务造假	对不起，董秘，公司财务数据净利润增长了100%左右。请问利润主要来自国防军工订单，还是口罩非技术含量订单？它是否涉嫌财务欺诈？	1
公司称“募投项目30万吨/年有机硅单体及20万吨/年有机硅下游产品目前相关手续正在办理当中”近期股价迎来继续暴跌，是否办理手续在审批不能通过？	该公司表示，“30万吨/年有机硅单体和200000吨/年有机硅下游产品目前正在办理相关手续。”最近股价持续暴跌，手续不能批准吗？	1
你好！请问下贵公司股东有多少人？	你好！请问贵公司有多少股东？	1
请问元月10日股东人数？	我可以问一下1月10日的股东数量吗？	1
请问一下株洲高科减持了没有	请问株洲高新减股了吗？	1
您好，请问，贵公司截止12月31日股东人数是多少？谢谢！	请问到12月31日，你们公司的股东人数是多少？谢谢。	1
董秘你好！贵司25日晚间公告称：转让津荣中和超一半的股权，研读公告，前三季度该子公司净利润仅16.29万，企业进一步减负，可喜可贺！另企业在环上海经济圈（苏州及湖州）投资成立津荣子公司主营产品主要为哪方面？	你好，董秘！贵公司25日晚间公告：向锦荣众转让一半股权，经研究公告，前三季度子公司净利润为162900，企业再负，恭喜！此外，金荣子公司投资上海经济圈(苏州、湖州)企业的主要产品有哪些？	1
请问贵公司的铝合金压铸里有一体压铸这项技术吗？另外在汽车热管理方面有何储备或涉猎？谢谢。	你们的铝合金压铸有完整的压铸工艺吗？此外，你有没有关于汽车热管理的储备或脚？谢谢。	1
董秘您好，是否考虑改名：联泓新材	董秘，您好，要考虑改名吗？是联宏新材吗？	1
你好，周末汤加的火山喷发，让全球的大气层受到极大污染，公司有产品运用于大气污染治理的吗？	您好，上周末汤加火山喷发对全球大气造成了严重污染。这家公司有什么空气污染控制产品吗？	1
请问公司产品主要应用在哪些行业中？	那家公司的产品主要用于什么行业？	1
请问子公司百斯医学取得五项新冠病毒产品的欧盟 CE 认证，包括抗原、抗体检测，是否属实？	请问子公司百世医药获得了包括抗原和抗体检测在内的新型冠状病毒产品的5项欧盟CE认证，是真的吗？	1
董秘您好，近日，生态环境部发布了长江流域总磷污染控制方案。贵公司作为一家环保企业，在对磷化工企业生产过程中产生的废气、粉尘、废水等污染物有无针对性的产品设备及治污方案？	你好，董秘。近日，生态环境部印发了长江流域总磷污染治理方案。作为环保企业，贵公司对磷化工企业生产过程中产生的废气、粉尘、废水等污染物有针对性的产品、设备和污染治理方案吗？	1
董秘好，请问截止目前股东人数多少？谢谢	董秘，到目前为止股东人数是多少？谢谢你，谢谢	1
董秘，您好，请问法本信息在业务上是否与华为及鸿蒙有战略合作关系？	董秘您好，您和华为、鸿蒙在业务上有战略合作关系吗？	1
请问公司是华为的客户吗？	该公司是华为的客户吗？	1
请问一下 我们公司的产品为什么定位是处方药！而不是保健品	请问为什么我们公司的产品定位为处方药呢？不是保健品。	1
请问贵公司产品涉及国家药品集采吗？	告辞了。你们的产品与国药有关吗？	1
请问公司产品是否应用于逆变器和工业机器人上面？谢谢	该公司的产品是否用于逆变器或工业机器人？谢谢你，谢谢	1
截止11月26号收盘的股东人数是多少？	到11月26日，被关闭的股东人数是多少？	1
请问公司副总经理、核心技术人员陈启峰离职对公司的影响？南土资产举牌公司的股票后是不是有限售期，在一定时间内不可以卖出股票。公司10月份以来产能利用率怎么样。	公司副总经理、核心技术人员陈启峰的离职有何影响？南图资产公司股份的出售是否有期限，不得在一段时间内出售股份。该公司10月份以来的产能利用率是多少？	1
你好 请问截至11月10日公司股东人数是多少？谢谢	请问到11月10日，公司股东人数是多少？谢谢你，谢谢	1
公司是特斯拉的直接供应商还是间接供应商？谢谢	该公司是特斯拉的直接供应商还是间接供应商？谢谢你，谢谢	1
董秘你好！请问贵公司是否有土壤修复的项目或业务？	你好，董秘！贵公司有什么土壤修复项目或业务吗？	1
懂秘您好？贵公司设备可以用在第三代半导体碳化硅方面吗？	你好，你还好吗？你们的设备可以用在第三代半导体碳化硅上吗？	1
请问公司产品是否应用医疗行业，国家这几年对医疗垃圾处理同样重视，公司的产品是否有应用医疗行业	请问该公司的产品是否应用于医疗行业，国家近年来对医疗废物处理给予同等重视，请告诉我们该公司的产品是否应用于医疗行业。	1
董秘你好，公司产品贯穿公司客户从研究到应用的全过程，那么请问公司是否与开发、研究元宇宙的公司有合作？	您好，董秘，公司的产品，打通了企业客户从研究到应用的全过程，企业是否与研究梅德巴斯的研发公司合作？	1
董秘您好！请问近期纺机出口欧洲订单是否增加了？	董秘你好。最近出口到欧洲的纺织机械的订单增加了吗？	1
在汽车消费电子以及新能源领域，公司是否有进一步拓展市场份额的计划？	该公司是否有计划进一步扩大其在汽车、消费电子和新能源领域的市场份额？	1
新希望3月16日发布通知，虾蟹饲料涨价300元一吨，请问公司的产品是否同步涨价？同时阿根廷禁止出口豆粕豆油，很可能推动原料涨价，公司是否做好了充足的原料储备？	3月16日，新希望发布公告，宣布将虾蟹饲料价格每吨上调300元。公司产品的价格是不是也同步上涨了？与此同时，阿根廷对豆粕和豆油的出口禁令可能推高原材料的价格。公司有足够的原材料储备吗？	1
请问公司是否有元宇宙+室外大屏的技术储备和产品方案？谢谢！	公司是否有远太空+室外大屏幕的技术储备和产品方案？谢谢。	1
请公开8月30股东人数谢谢	请在8月30日披露股东人数。谢谢。	1
你好董秘，贵公司目前的产品是否实现国产替代？贵公司在安徽省内是否属于行业龙头企业？	请问董秘，请问贵公司目前的产品实现了国内替代吗？贵公司是安徽省的龙头企业吗？	1
董秘您好，贵司是否有大的扩产规划，现在同行通威股份明年产能扩张到20万吨以上，2023年产能不低于38万吨，保利协鑫也规划到明年底产能到顶30万吨，贵司如果还是保持现在产能将远远落后同行，请问是否有其它的发展战略	董秘先生，请问贵公司有没有大的扩容计划？目前，同业通威股份产能明年将扩大至200000吨以上，2023年不低于380000吨。保利协鑫还计划在明年底前拥有30万吨产能。如果你的公司保持着目前的产能，它将远远落后于同行。有没有其他的发展战略？	1
公司在海外的经销网点有多少家？及未来在海外的发展战略？	那家公司有多少个海外分销网站？那么未来的海外发展战略又如何呢？	1
请转告那2家减持股份的机构投资者抓紧减持！谢谢!	请转告减持的两家机构投资者尽快减持！谢谢。	1
尊敬的董秘，请问截止到11月30日，有多少股东？	尊敬的董秘，到11月30日，有多少股东？	1
您好！贵司收购的松下标的是否有空气热能汞相关技术专利？	你好！贵公司收购的松下标的中是否有关于空气热汞的专利？	1
请问，公司在航空部件、汽车配件两方面有哪些产品？占比多少？	告辞了。这家公司有什么航空零部件和汽车零部件的产品？百分率是多少？	1
贵公司与宇信科技的合作有什么突破吗？有什么案例或者产品了吗	你与宇信技术的合作被突破了吗？有盒子或产品吗？	1
贵公司在数字货币以及支付方面，是否有业务？业务量大概多少	贵公司有数字货币和支付业务吗？大概的业务量是多少？	1
董秘好，贵司半年度业绩大增，却上市当天就破发，堪称最差上市公司，是因为预期下半年业绩不行了吗？请董秘正面回复一下在手订单状况如何，下半年业绩能否保持持续增长？	董的秘诀是好事，贵公司业绩半年就大幅增长，但上市当天就破了，最糟糕的上市公司，下半年业绩预期是不是不合格？关于手头订单的情况，以及下半年的表现是否持续增长，请给予积极的回答。	1
董秘：在历史性的发展机遇面前，贵公司是否有产业升级，进入车规级产品的规划？	董秘：面对历史性的发展机遇，贵公司有什么产业升级、进入军车规级产品的计划吗？	1
下次解禁什么时候	下一次解禁时间是什么时候？	1
贵司在碳交易方面有无战略布局？	贵公司在碳交易上有战略布局吗？	1
你好，麻烦提供一下最新一期股东人数，谢谢	您好，请提供最新的股东数量。谢谢。	1
董秘您好！贵公司产品是否可以应用到军工、航空航天领域（请简单明了的回复）？谢谢！	董秘你好。你们的产品能否应用于军工、航天等领域(请简单易懂地回复)？谢谢。	1
董秘你好，贵公司跟合肥城建有战略合作吗！！！！	请问董秘，贵公司与合肥城建设是否有战略合作？	1
公司跟客户有没有展开在数字人民币应用场景领域业务合作？ “有”还是“没有”？ 简单回复就行，不涉密。谢谢	公司与客户在数字人民币应用场景领域有业务合作吗？是“是”还是“不”？只是简单地回答，不包含任何秘密。谢谢你，谢谢	1
董秘你好，关于贵司聘请张聿先生为北中网科技荣誉顾问，聘请谢丹先生为北中网科技专家顾问，请问张聿先生、谢丹先生两位业内大佬的加入是否为贵司引入新的战略投资者？	你好，董秘。关于贵公司聘请张魁先生担任科技名誉顾问、担任谢丹先生担任科技专家顾问一事，张先生和谢丹两位行业领袖的参与会不会为贵公司引入新的战略投资者？	1
请问贵公司有生产卡龙酸酐产品吗？	你们公司生产碳酸酐吗？	1
公司产品有销往欧洲吗？	那家公司的产品销往欧洲吗？	1
首先祝贺公司成功科创板上市,看了下公司主营业务是发动机的零部件,想请教下,新能源车逐步替代燃油车的大趋势下,会不会对公司主营业务造成影响,因为新能源车发是用电机的,不是发动机。公司面对这种环境,是否有相应对策,谢谢。	首先，祝贺公司科创板成功挂牌。我看到该公司的主要业务是发动机部件。请问新能源汽车取代燃油汽车的大趋势会影响公司的主营业务吗？因为新能源汽车是由发动机驱动的，而不是发动机。面对这样的环境，感谢公司是否有相应的应对措施。	1
公司目前跟踪的GIL订单有哪些，总共多少公里，预计都在哪些时候落地	该公司目前追踪的GIL订单有哪些？一共有多少公斤？你打算什么时候着陆？	1
年中报披露公司募投项目，投资进度在50—60%即已达到预定可使用状态，请问为什么可以提早这么多开始使用设备？产能是否已经达到原定募投产能？	年度报告显示，该公司的筹资项目已经达到预期的可用状态，投资进度为50%。为什么这么快就能使用这些设备？产能是否达到原先计划的产能？	1
请问贵公司生产的半导体硅片的硅料是进口的吗？主要供应商是哪家?有没有国产替代化方案，是否有被制裁的风险?  请分别认真回答以上问题，谢谢。祝公司蒸蒸日上，市值早日破千亿。	请问贵公司生产的半导体晶圆硅材料是进口的吗？主要的供应商是哪个？国内还有其他选择吗？有被制裁的风险吗？请认真回答以上问题。谢谢。祝愿公司早日繁荣，市值突破千亿元。	1
您好，请问后期6GWh的产能如何规划，电动二轮车需求疲软下主要增长点在哪里呢？在现有产能都没有满产的情况下如何消化掉这些产能呢？	请问后期如何规划6GWh产能，如果电动两轮车需求疲软，主要增长点在哪里？当现有容量不足时如何消化？	1
